,index,Country,Region,Rating,Nratings,Label,Winery,Price,Wine_Variety
144,144,France,Clos de Lambrays Grand Cru,4.4,434,Clos des Lambrays Grand Cru 2013,Domaine des Lambrays,"432,992",['Pinot Noir']
145,145,United States,Napa Valley,4.4,425,Postmark Rector Creek Vineyard Red 2020,Paraduxx,"130,986","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Zinfandel']"
146,146,United States,Napa Valley,4.4,425,Postmark Rector Creek Vineyard Red 2021,Paraduxx,"124,092","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot', 'Zinfandel']"
147,147,Australia,Barossa,4.4,400,Johann Georg Old Vine Shiraz 2007,Kalleske,"306,604",['Shiraz/Syrah']
148,148,France,Pauillac,4.4,374,Les Forts de Latour Pauillac 1995,Château Latour,"291,150",['Cabernet Sauvignon']
149,149,France,Margaux,4.4,363,Pavillon Rouge du Château Margaux 1997,Château Margaux,"255,062","['Cabernet Sauvignon', 'Merlot']"
150,150,New Zealand,Waiheke Island,4.4,333,Velvet 2022,Mudbrick Vineyard,"164,468",[]
151,151,France,Pauillac,4.4,322,Les Forts de Latour Pauillac 1998,Château Latour,"272,384",['Cabernet Sauvignon']
152,152,France,Châteauneuf-du-Pape,4.4,280,Châteauneuf-du-Pape Cuvée de mon Aïeul 2007,Pierre Usseglio,"229,060",['Grenache']
153,153,France,Gevrey-Chambertin Premier Cru,4.4,279,Gevrey-Chambertin Premier Cru Les Cazetiers 2016,Bouchard Père & Fils,"179,524",['Pinot Noir']
154,154,France,Saint-Émilion Grand Cru,4.4,271,Saint-Émilion Grand Cru (Grand Cru Classé) 2005,Château l'Arrosee,"105,236","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
155,155,Spain,Rioja,4.4,270,Castillo Ygay Gran Reserva Especial Tinto 1995,Marqués de Murrieta,"122,888","['Tempranillo', 'Mazuelo']"
156,156,New Zealand,Hawke's Bay,4.4,261,The Terraces Red Blend 2016,Esk Valley,"147,598","['Cabernet Franc', 'Malbec', 'Merlot']"
157,157,France,Pomerol,4.4,250,Pomerol 2005,Château Hosanna,"371,440","['Cabernet Franc', 'Merlot']"
158,158,United States,Napa Valley,4.4,248,Stature Limited Release Cabernet Sauvignon 2000,Kendall-Jackson,"250,014",['Cabernet Sauvignon']
159,159,New Zealand,Waiheke Island,4.4,248,Larose Red Blend 2014,Stonyridge Vineyard,"387,986","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot', 'Petit Verdot']"
160,160,France,Pomerol,4.4,245,Pomerol 1995,Château Latour à Pomerol,"260,008","['Cabernet Franc', 'Merlot']"
161,161,Australia,McLaren Vale,4.4,221,Savitar Shiraz 2005,Mitolo,"118,651",['Shiraz/Syrah']
162,162,France,Alpilles,4.4,216,Alpilles Rouge 2018,Domaine de Trévallon,"163,434",['Cabernet Sauvignon']
163,163,New Zealand,Auckland,4.4,193,Harmonie du Soir 2019,Puriri Hills,"125,668","['Cabernet Sauvignon', 'Cabernet Franc', 'Malbec', 'Merlot']"
164,164,Spain,Rioja,4.4,181,Culmen Reserva Rioja 2001,Lan,"161,026","['Tempranillo', 'Graciano']"
165,165,Chile,Maipo Valley,4.4,175,Bougainville Petite Sirah 2012,Santa Rita,"121,193",['Petite Sirah']
166,166,France,Saint-Émilion Grand Cru,4.4,168,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1993,Château Pavie,"357,815","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
167,167,Hungary,Balaton,4.4,168,Páva 2011,Konyári,"227,979","['Cabernet Sauvignon', 'Cabernet Franc', 'Merlot']"
168,168,France,Margaux,4.4,151,Margaux (Grand Cru Classé) 1983,Château Rauzan-Ségla,"390,012","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc', 'Petit Verdot']"
169,169,France,Saumur-Champigny,4.4,148,Saumur Champigny 2005,Clos Rougeard,"430,870",['Cabernet Franc']
170,170,France,Languedoc,4.4,135,Clos Syrah Léone 1998,Peyre Rose,"191,916",['Shiraz/Syrah']
171,171,Argentina,Paraje Altamira,4.4,131,Finca Altamira Malbec 2004,Achaval-Ferrer,"224,589",['Malbec']
172,172,France,Saint-Émilion Grand Cru,4.4,131,Chapelle d'Ausone Saint-Émilion Grand Cru 2012,Château Ausone,"312,009","['Cabernet Franc', 'Merlot', 'Cabernet Sauvignon']"
173,173,France,Saint-Émilion Grand Cru,4.4,131,Saint-Émilion Grand Cru (Premier Grand Cru Classé) 1990,Château Magdelaine,"274,865","['Cabernet Franc', 'Merlot']"
174,174,France,Pomerol,4.4,128,Pomerol 1985,Vieux Château Certan,"319,438","['Merlot', 'Cabernet Sauvignon', 'Cabernet Franc']"
175,175,Italy,Vino d'Italia,4.4,120,Keir 2017,Tua Rita,"247,895",['Shiraz/Syrah']
