"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"BOM00026745","1965-06","54.483","26.9","183.0","VILEYKA, BO","13",",I","11",",I","0",",I","","","","","19650607",",,I","","","22.7",",,I,07,","81.2",",,,I"
"BOM00026745","1965-08","54.483","26.9","183.0","VILEYKA, BO","16",",I","10",",I","0",",I","","","","","19650807",",,I","","","21.4",",,I,07,","90.5",",,,I"
"BOM00026745","1965-09","54.483","26.9","183.0","VILEYKA, BO","11",",I","5",",I","1",",I","","","","","19650901",",,I","","","29.2",",,I,01,","77.7",",,,I"
"BOM00026745","1965-10","54.483","26.9","183.0","VILEYKA, BO","7",",I","3",",I","0",",I","","","","","19651017",",,I","","","6.8",",,I,17,","18.6",",,,I"
"BOM00026745","1965-11","54.483","26.9","183.0","VILEYKA, BO","11",",I","7",",I","0",",I","","","","","19651122",",,I","","","16.4",",,I,22,","48.6",",,,I"
"BOM00026745","1965-12","54.483","26.9","183.0","VILEYKA, BO","17",",I","4",",I","0",",I","","","","","19651220",",,I","","","12.6",",,I,20,","38.1",",,,I"
"BOM00026745","1966-01","54.483","26.9","183.0","VILEYKA, BO","23",",I","7",",I","0",",I","","","","","19660113",",,I","","","12.4",",,I,13,","52.5",",,,I"
"BOM00026745","1966-02","54.483","26.9","183.0","VILEYKA, BO","21",",I","7",",I","0",",I","","","","","19660213",",,I","","","15.6",",,I,13,","62.8",",,,I"
"BOM00026745","1966-03","54.483","26.9","183.0","VILEYKA, BO","21",",I","6",",I","0",",I","","","","","19660313",",,I","","","16.4",",,I,13,","53.5",",,,I"
"BOM00026745","1966-04","54.483","26.9","183.0","VILEYKA, BO","15",",I","6",",I","0",",I","","","","","19660420",",,I","","","18.2",",,I,20,","66.6",",,,I"
"BOM00026745","1966-05","54.483","26.9","183.0","VILEYKA, BO","13",",I","9",",I","1",",I","","","","","19660530",",,I","","","26.8",",,I,30,","79.9",",,,I"
"BOM00026745","1966-06","54.483","26.9","183.0","VILEYKA, BO","8",",I","7",",I","1",",I","","","","","19660628",",,I","","","44.9",",,I,28,","97.1",",,,I"
"BOM00026745","1966-07","54.483","26.9","183.0","VILEYKA, BO","15",",I","9",",I","0",",I","","","","","19660726",",,I","","","16.4",",,I,26,","78.3",",,,I"
"BOM00026745","1966-08","54.483","26.9","183.0","VILEYKA, BO","9",",I","7",",I","1",",I","","","","","19660807",",,I","","","38.4",",,I,07,","95.8",",,,I"
"BOM00026745","1966-09","54.483","26.9","183.0","VILEYKA, BO","17",",I","8",",I","0",",I","","","","","19660909",",,I","","","10.7",",,I,09,","52.3",",,,I"
"BOM00026745","1966-10","54.483","26.9","183.0","VILEYKA, BO","7",",I","4",",I","0",",I","","","","","19661028",",,I","","","18.0",",,I,28,","46.1",",,,I"
