"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"ASN00087038","1938-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","6",",a","1",",a","0",",a","","","","","","","","","","","","","19380905",",,a","","","","","5.1",",,a,05,","","","","","8.7",",,,a","","","","","",""
"ASN00087038","1938-10","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","5",",a","1",",a","0",",a","","","","","","","","","","","","","19381031",",,a","","","","","11.9",",,a,31,","","","","","16.3",",,,a","","","","","",""
"ASN00087038","1938-11","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","3",",a","0",",a","","","","","","","","","","","","","19381104",",,a","","","","","12.4",",,a,04,","","","","","23.0",",,,a","","","","","",""
"ASN00087038","1938-12","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","3",",a","0",",a","0",",a","","","","","","","","","","","","","19381211","+,,a","","","","","1.8",",,a,11,+","","","","","4.9",",,,a","","","","","",""
"ASN00087038","1939-01","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","4",",a","1",",a","0",",a","","","","","","","","","","","","","19390116",",,a","","","","","3.6",",,a,16,","","","","","5.9",",,,a","","","","","",""
"ASN00087038","1939-02","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","6",",a","2",",a","","","","","","","","","","","","","19390226",",,a","","","","","69.9",",,a,26,","","","","","147.0",",,,a","","","","","",""
"ASN00087038","1939-03","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","4",",a","2",",a","0",",a","","","","","","","","","","","","","19390310",",,a","","","","","6.4",",,a,10,","","","","","14.5",",,,a","","","","","",""
"ASN00087038","1939-04","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","8",",a","4",",a","0",",a","","","","","","","","","","","","","19390407",",,a","","","","","23.6",",,a,07,","","","","","60.7",",,,a","","","","","",""
"ASN00087038","1939-05","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","11",",a","5",",a","0",",a","","","","","","","","","","","","","19390520",",,a","","","","","7.1",",,a,20,","","","","","30.5",",,,a","","","","","",""
"ASN00087038","1939-06","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","9",",a","5",",a","0",",a","","","","","","","","","","","","","19390605",",,a","","","","","18.3",",,a,05,","","","","","57.5",",,,a","","","","","",""
"ASN00087038","1939-07","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","7",",a","1",",a","0",",a","","","","","","","","","","","","","19390703",",,a","","","","","5.6",",,a,03,","","","","","12.5",",,,a","","","","","",""
"ASN00087038","1939-08","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","19",",a","9",",a","0",",a","","","","","","","","","","","","","19390802",",,a","","","","","21.6",",,a,02,","","","","","69.4",",,,a","","","","","",""
"ASN00087038","1939-09","-37.775","144.8767","20.0","MARIBYRNONG EXPLOSIVES FACTORY, AS","","","","","12",",a","8",",a","0",",a","","","","","","","","","","","","","19390925",",,a","","","","","7.6",",,a,25,","","","","","39.6",",,,a","","","","","",""
